Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Jonah,1,M. Stafford QB - DET ,23.38,C. McCaffrey RB - CAR ,25.50,N. Chubb RB - CLE ,10.30,R. Woods WR - LA ,5.20,T. McLaurin WR - WAS ,5.90,T. Kelce TE - KC ,14.30,T. Williams WR - LV ,16.60,W. Lutz K - NO ,7.00,Titans DEF ,11.00,M. Ingram RB - BAL ,0.00,A. Jeffery WR - PHI ,8.40,R. Freeman RB - DEN ,11.00,A. Lazard WR - GB ,6.70,M. Sanders RB - PHI ,21.30,D. Singletary RB - BUF ,12.90,-,-,119.18,Kevin,68.78
David,8,J. Goff QB - LA ,22.88,P. Lindsay RB - DEN ,10.10,D. Montgomery RB - CHI ,22.70,O. Beckham WR - CLE ,7.70,C. Kupp WR - LA ,31.50,G. Kittle TE - SF ,11.60,G. Tate WR - NYG ,12.50,A. Vinatieri K - IND ,13.00,Rams DEF ,9.00,J. White RB - NE ,9.90,J. Garoppolo QB - SF ,13.00,J. Crowder WR - NYJ ,3.90,D. Johnson RB - HOU ,11.40,S. Shepard WR - NYG ,0.00,M. Prater K - DET ,9.00,-,-,140.98,Dilaun,156.66
Max,9,K. Murray QB - ARI ,10.10,T. Gurley RB - LA ,10.40,J. Jacobs RB - LV ,9.10,J. Edelman WR - NE ,23.50,J. Smith-Schuster WR - PIT ,18.80,Z. Ertz TE - PHI ,3.00,J. Howard RB - PHI ,17.60,C. Boswell K - PIT ,9.00,Vikings DEF ,12.00,D. Brees QB - NO ,24.92,T. Burton TE - CHI ,2.10,T. Coleman RB - SF ,36.80,W. Fuller WR - HOU ,0.00,M. Williams WR - LAC ,8.40,J. Tucker K - BAL ,0.00,-,-,113.50,Eli,117.10
Adam,4,D. Watson QB - HOU ,27.76,S. Barkley RB - NYG ,24.30,T. Johnson RB - DET ,4.30,T. Hill WR - KC ,11.10,C. Sutton WR - DEN ,8.70,D. Waller TE - LV ,8.10,K. Stills WR - HOU ,3.70,J. Slye K - CAR ,3.00,49ers DEF ,17.00,E. Sanders WR - SF ,10.50,A. Green WR - CIN ,0.00,A. Thielen WR - MIN ,0.00,D. Johnson RB - ARI ,0.00,G. Everett TE - LA ,2.50,M. Mack RB - IND ,15.50,-,-,107.96,Ricky,74.30
Ricky,6,T. Bridgewater QB - NO ,-0.20,L. Bell RB - NYJ ,5.00,D. Freeman RB - ATL ,12.20,A. Robinson WR - CHI ,8.70,C. Ridley WR - ATL ,11.00,G. Olsen TE - CAR ,2.30,C. Hyde RB - HOU ,8.30,G. Zuerlein K - LA ,6.00,Patriots DEF ,21.00,A. Peterson RB - WAS ,11.30,D. Adams WR - GB ,0.00,J. Brown WR - BUF ,7.90,A. Cooper WR - DAL ,0.00,K. Drake RB - ARI ,0.00,J. Allen QB - BUF ,17.26,-,-,74.30,Adam,107.96
Eli,7,M. Ryan QB - ATL ,0.00,L. Fournette RB - JAX ,17.10,A. Jones RB - GB ,38.10,J. Jones WR - ATL ,20.20,T. Ginn WR - NO ,5.20,J. Akins TE - HOU ,2.10,M. Gordon RB - LAC ,10.40,M. Nugent K ,9.00,Jaguars DEF ,15.00,V. McDonald TE - PIT ,3.40,S. Watkins WR - KC ,7.00,P. Dorsett WR - NE ,5.80,D. Prescott QB - DAL ,0.00,M. Gallup WR - DAL ,0.00,R. Penny RB - SEA ,5.50,-,-,117.10,Max,113.50
Dilaun,5,T. Brady QB - NE ,18.36,L. Murray RB - NO ,32.20,J. Conner RB - PIT ,22.50,M. Evans WR - TB ,37.30,T. Lockett WR - SEA ,13.00,E. Engram TE - NYG ,12.00,C. Edmonds RB - ARI ,2.30,H. Butker K - KC ,6.00,Steelers DEF ,13.00,L. Fitzgerald WR - ARI ,1.80,F. Gore RB - BUF ,3.40,B. Cooks WR - LA ,0.00,K. Hunt RB - CLE ,0.00,A. Kamara RB - NO ,0.00,Bills DEF ,4.00,-,-,156.66,David,140.98
Jeremy,3,A. Rodgers QB - GB ,27.10,D. Williams RB - KC ,9.00,J. Williams RB - GB ,17.10,M. Thomas WR - NO ,21.80,C. Godwin WR - TB ,8.30,J. Graham TE - GB ,3.50,M. Jones WR - DET ,4.20,M. Crosby K - GB ,7.00,Panthers DEF ,3.00,K. Cousins QB - MIN ,11.60,T. Hilton WR - IND ,6.40,E. Elliott RB - DAL ,0.00,T. Boyd WR - CIN ,9.80,M. Andrews TE - BAL ,0.00,Saints DEF ,8.00,-,-,101.00,BRyant,139.86
Kevin,10,R. Wilson QB - SEA ,15.68,L. McCoy RB - KC ,6.30,C. Carson RB - SEA ,15.00,M. Sanu WR - NE ,3.30,D. Westbrook WR - JAX ,0.00,H. Henry TE - LAC ,6.70,D. Henry RB - TEN ,6.80,J. Lambo K - JAX ,11.00,Bears DEF ,4.00,K. Allen WR - LAC ,8.80,J. Landry WR - CLE ,9.00,C. Samuel WR - CAR ,6.60,P. Mahomes QB - KC ,0.00,M. Breida RB - SF ,5.50,S. Michel RB - NE ,7.40,-,-,68.78,Jonah,119.18
BRyant,2,G. Minshew QB - JAX ,23.96,D. Cook RB - MIN ,25.60,A. Ekeler RB - LAC ,9.20,D. Hopkins WR - HOU ,16.40,D. Chark WR - JAX ,16.90,A. Hooper TE - ATL ,15.50,K. Golladay WR - DET ,25.30,A. Seibert K - CLE ,7.00,--empty--,-,S. Diggs WR - MIN ,15.80,D. Robinson WR - KC ,1.60,J. Mixon RB - CIN ,15.70,L. Jackson QB - BAL ,0.00,C. Kirk WR - ARI ,13.80,D. Moore WR - CAR ,6.30,Seahawks DEF ,9.00,139.86,Jeremy,101.00
